,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,b,bp_g,bp_rp,dec,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,designation,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_fe_h,dr2_rv_template_logg,dr2_rv_template_teff,duplicated_source,ecl_lat,ecl_lon,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,l,matched_transits,matched_transits_removed,new_matched_transits,nu_eff_used_in_astrometry,parallax,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec,pmdec_error,pmdec_pseudocolour_corr,pmra,pmra_error,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,random_index,ref_epoch,ruwe,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,source_id,visibility_periods_used
437,341.6470947265625,0.0,0.0,-0.03805132582783699,39,2,334,0,336,31,False,0.05343620851635933,3.0574109347226033,0.4792203903198242,1.1147184371948242,-14.137791749269777,0.02502557821571827,-0.08511124551296234,0.13840360939502716,0.11638718098402023,,b'Gaia EDR3 3030239722444574208',,,0,,,,False,-35.22975759211632,118.701239398605,0.635498046875,0,0,0.019548576325178146,143.60748291015625,230.521959686873,44,0,14,1.491506814956665,0.9584324286610507,0.03627597540616989,26.420583724975586,-0.2834304869174957,0.2547440528869629,,4082.290513098775,11.696806907653809,349.00897216796875,16.311283111572266,5,0,40,1.222232460975647,8752.285970212015,4.221693515777588,2073.16943359375,15.832062721252441,339,0,6615.037058785894,12.14753532409668,544.5579833984375,15.196564674377441,1,0,39,4.152923583984375,-1.1877469544108141,0.030045896768569946,,-3.9794513439282397,0.037177737802267075,-0.16657249629497528,,,,113.86209010263896,-0.16246619820594788,0.027413174510002136,0.0016868232050910592,0.10913239419460297,-0.0838719978928566,,1537006934,2016.0,0.997504472732544,-46.328372955322266,32.280765533447266,-53.93870162963867,-42.11574172973633,0.1194208562374115,0.24276018142700195,0.15258580446243286,0.3939491808414459,1636042515805110273,3030239722444574208,22
438,373.45556640625,0.0,0.0,0.7288118004798889,39,0,345,0,345,31,False,0.045823439955711365,2.961546653536673,0.5724687576293945,1.2932720184326172,-14.18046298940366,0.022946778684854507,-0.016052434220910072,0.16530175507068634,0.17582158744335175,,b'Gaia EDR3 3030239859883576960',,,0,,,,False,-35.2885033742602,118.60831633184631,0.7208032608032227,0,0,0.02318068966269493,147.2796173095703,230.51767402303346,44,0,12,1.4559965133666992,1.0220463757174405,0.03304114192724228,30.932538986206055,-0.255598783493042,0.2638402283191681,,4651.110222226631,12.407370567321777,374.86669921875,16.16965103149414,2,0,40,1.245623230934143,10866.101802425339,4.915968894958496,2210.368408203125,15.597182273864746,350,0,8883.957992023737,11.539251327514648,769.8903198242188,14.876379013061523,2,0,40,3.253866195678711,-1.5610623376951698,0.026084518060088158,,-2.854948292140029,0.032468121498823166,-0.05282473936676979,,,,113.77344689820096,-0.03573029488325119,0.02405456081032753,0.1604943573474884,0.10166975855827332,0.041717275977134705,,1306308922,2016.0,1.0270891189575195,-24.785261154174805,33.54453659057617,-50.757957458496094,-38.302650451660156,0.16691350936889648,0.13418959081172943,0.19305773079395294,0.378879576921463,1636042515805110273,3030239859883576960,20
439,413.08917236328125,0.0,0.0,0.8660688400268555,43,2,379,0,381,31,False,0.03531236574053764,2.958010090802142,0.4452486038208008,1.0534896850585938,-14.18710297131381,0.017581647261977196,-0.11405912786722183,0.1854940503835678,0.0812438502907753,,b'Gaia EDR3 3030239859883580544',,,0,,,,False,-35.2950864078517,118.6094715085959,0.608241081237793,0,0,0.027838490903377533,150.32591247558594,230.52331342612993,47,0,14,1.503280758857727,1.010661215249783,0.025805633515119553,39.164363861083984,-0.2749177813529968,0.19225773215293884,,7968.903181862479,12.363755226135254,644.5374145507812,15.58504581451416,0,0,40,1.2183185815811157,16558.758620498513,4.715704917907715,3511.406982421875,15.13979721069336,377,0,12204.93925026809,14.142311096191406,863.0088500976562,14.531556129455566,0,0,40,2.50059175491333,-2.5003644978052715,0.020661329850554466,,0.03372087213397304,0.025203576311469078,-0.06399884074926376,,,,113.77306653192228,-0.11074169725179672,0.01880982331931591,0.14721892774105072,0.0316547267138958,0.010343982838094234,,1115990136,2016.0,1.0309326648712158,-31.46361541748047,32.75132369995117,-49.92781448364258,-41.03095245361328,0.1618790328502655,0.15985587239265442,0.22366872429847717,0.38649478554725647,1636042515805110273,3030239859883580544,22
440,783.9629516601562,0.09223761409521103,12.046473503112793,-0.5512782335281372,37,3,327,330,330,31,False,0.02076936513185501,2.9757841397539506,0.6180419921875,1.366903305053711,-14.164978683409736,0.01047089509665966,-0.04318658262491226,0.243748277425766,0.10206612199544907,,b'Gaia EDR3 3030239962962780288',45.8228874206543,0.45896369218826294,10,0.0,3.0,5000.0,False,-35.27180701897382,118.61384495670569,0.7488613128662109,0,0,0.022452471777796745,158.27268981933594,230.5078408746535,42,1,10,1.4393266439437866,0.9123924370106142,0.015088786371052265,60.46824645996094,-0.21903136372566223,0.17621824145317078,,292560.0630373562,158.36849975585938,1847.3375244140625,11.673004150390625,0,0,41,1.2494317293167114,712790.3362075429,180.40960693359375,3950.95556640625,11.054962158203125,318,0,598022.7990243231,198.5119171142578,3012.528564453125,10.306100845336914,1,0,41,1.5029419660568237,0.006615374931779854,0.01179213635623455,,1.5029274530743144,0.014907319098711014,0.015931831672787666,,,,113.7813942351166,0.03396657854318619,0.01179486233741045,0.1630050539970398,0.056601472198963165,0.04846245422959328,,888411987,2016.0,0.9773279428482056,,,,,,,,,1636042515805110273,3030239962962780288,20
441,347.12872314453125,0.0,0.0,-0.6320167779922485,42,0,360,0,360,31,False,0.03089684247970581,3.04736876557646,0.3612527847290039,0.9093236923217773,-14.134075957271078,0.014582685194909573,-0.06609625369310379,0.11306823045015335,0.14132732152938843,,b'Gaia EDR3 3030240478358821120',,,0,,,,False,-35.22878020125388,118.68409808211162,0.5480709075927734,1,0,0.025740690529346466,150.46746826171875,230.5121394782698,47,0,15,1.5373718738555908,0.9374668418134072,0.021008914336562157,44.622337341308594,-0.2903646230697632,0.2173304259777069,,13902.958021595177,26.312442779541016,528.3795776367188,14.98077392578125,10,0,42,1.2172915935516357,26738.567862521068,6.660046577453613,4014.77197265625,14.619521141052246,364,0,18645.67455407409,22.43276596069336,831.1803588867188,14.071450233459473,10,0,41,8.310367584228516,2.6910348259613603,0.017179416492581367,,-7.862604456171222,0.021622108295559883,-0.15482091903686523,,,,113.84813226560216,-0.20517735183238983,0.015937602147459984,0.08950183540582657,0.08375360816717148,-0.1144004762172699,,1045590309,2016.0,0.9754434823989868,-15.78650951385498,36.02567672729492,-53.53190612792969,-40.96322250366211,0.1293056160211563,0.2604619860649109,0.17745770514011383,0.3577244281768799,1636042515805110273,3030240478358821120,22
442,399.9935302734375,0.05446207895874977,0.5704283118247986,1.2170276641845703,41,3,356,0,359,31,False,0.039820313453674316,2.996296299810471,0.38971710205078125,0.9530658721923828,-14.143340000438931,0.020285557955503464,-0.11550161242485046,0.23616506159305573,0.05648048594594002,,b'Gaia EDR3 3030240581438056960',,,0,,,,False,-35.2483361732749,118.62241278245372,0.5633487701416016,0,0,0.030867457389831543,160.1701202392578,230.4944407702343,45,0,13,1.5288944244384766,1.0048609600578804,0.029658442363142967,33.88111114501953,-0.2733899652957916,0.20050373673439026,,6938.215536750425,12.667341232299805,547.7246704101562,15.73542308807373,2,0,41,1.2137186527252197,13698.226511866884,4.266814231872559,3210.410888671875,15.34570598602295,361,0,9687.577955885834,12.553009986877441,771.7334594726562,14.782357215881348,2,0,42,13.194662094116211,13.079898655955356,0.02390296757221222,,1.7364757423526287,0.028162838891148567,-0.09133237600326538,,,,113.7932247335064,-0.10040488839149475,0.021735981106758118,0.18567143380641937,0.008312700316309929,0.04269750788807869,,1190969618,2016.0,1.045319676399231,-35.65883255004883,29.45159912109375,-47.84899139404297,-41.67498779296875,0.15754395723342896,0.15099285542964935,0.26974916458129883,0.3763793706893921,1636042515805110273,3030240581438056960,22
443,266.5684509277344,0.0,0.0,-1.2134021520614624,34,2,289,0,291,31,False,0.07179373502731323,3.0341109799601518,0.5337028503417969,1.2142152786254883,-14.11204738267948,0.03398517891764641,-0.16613386571407318,0.17758914828300476,0.05075172707438469,,b'Gaia EDR3 3030240753236726144',,,0,,,,False,-35.212562352685346,118.64597534928699,0.6805124282836914,0,0,0.019135799258947372,159.58493041992188,230.4795791754179,40,0,11,1.469947099685669,1.0020531449249144,0.04715144261717796,21.251802444458008,-0.2840826213359833,0.17057988047599792,,2634.643337026352,10.29085636138916,256.01788330078125,16.7867374420166,1,0,37,1.2313975095748901,5939.270095898183,3.891345739364624,1526.276611328125,16.253034591674805,291,0,4678.958755183438,11.27542495727539,414.9696044921875,15.572522163391113,1,0,33,2.478641986846924,0.5499508977947815,0.040387414395809174,,-2.4168617450461136,0.04966273903846741,-0.2146262228488922,,,,113.81993587803737,-0.13328617811203003,0.035380419343709946,0.024347657337784767,0.051356345415115356,0.12705259025096893,,92608487,2016.0,0.9483678936958313,-52.57597732543945,37.715049743652344,-41.51482009887695,-36.91490936279297,0.06770946085453033,0.21287356317043304,0.18671366572380066,0.3614058792591095,1636042515805110273,3030240753236726144,21
444,347.2099609375,0.05594620481133461,0.1910107433795929,0.3154316246509552,38,1,330,0,331,31,False,0.07351478934288025,3.0224096451378837,0.6222381591796875,1.3842010498046875,-14.11471729335659,0.036211542785167694,-0.1044914573431015,0.1417960524559021,0.18754172325134277,,b'Gaia EDR3 3030240787596470016',,,0,,,,False,-35.217518700453375,118.63234145991424,0.761962890625,0,0,0.022681908681988716,157.63650512695312,230.47615137768264,43,0,13,1.4368473291397095,1.08136344550485,0.05339162051677704,20.25343132019043,-0.3526778519153595,0.25362876057624817,,1876.6650626631176,12.993005752563477,144.43655395507812,17.155075073242188,2,0,40,1.258034110069275,4589.992542001835,2.559539318084717,1793.28857421875,16.5328369140625,333,0,3897.7021814994855,10.344627380371094,376.78515625,15.7708740234375,1,0,39,2.9031574726104736,0.12411285975496109,0.04203943908214569,,-2.9005032360884946,0.05101722478866577,-0.14590297639369965,,,,113.80766983876013,-0.11129944771528244,0.03888892009854317,0.0637919083237648,0.15164980292320251,-0.028355274349451065,,900907861,2016.0,1.0113680362701416,-46.13041305541992,31.184011459350586,-45.782901763916016,-39.50639343261719,0.09487222880125046,0.1979510635137558,0.22208188474178314,0.32500043511390686,1636042515805110273,3030240787596470016,22
445,702.0426025390625,0.4024427831172943,12.556929588317871,10.817526817321777,37,0,323,0,323,31,False,0.09553022682666779,3.037197454938425,0.75433349609375,1.6376667022705078,-14.100748634398137,0.04496404528617859,-0.05713067203760147,0.1710030436515808,0.1975788176059723,,b'Gaia EDR3 3030240821946794368',,,0,,,,False,-35.20201974487467,118.63998738887076,0.8833332061767578,0,0,0.023294365033507347,171.3123779296875,230.46835817621212,42,0,12,1.3967283964157104,1.1542161857687425,0.06749749183654785,17.100133895874023,-0.28023988008499146,0.29948583245277405,,2228.06782992703,9.426671981811523,236.3578338623047,16.968721389770508,38,0,38,1.3116332292556763,6154.4786188609105,4.240167140960693,1451.470703125,16.214387893676758,317,0,5844.350537094456,9.218757629394531,633.9629516601562,15.3310546875,38,0,38,8.88072681427002,4.043524445336864,0.05141888186335564,,-7.906783017822736,0.06684360653162003,-0.12138204276561737,,,,113.81712677485378,-0.07593220472335815,0.05009775608778,0.185933455824852,0.12614552676677704,0.10659690201282501,,1140724478,2016.0,1.4570956230163574,-29.179174423217773,26.87477684020996,-46.37489318847656,-40.7775993347168,0.10023405402898788,0.19726933538913727,0.2593417167663574,0.32536864280700684,1636042515805110273,3030240821946794368,21
446,304.5473327636719,0.0719376802444458,0.3104782998561859,0.7232844829559326,33,2,280,0,282,31,False,0.07476910203695297,3.0051286685035614,0.6001205444335938,1.33685302734375,-14.090298671562275,0.03891726955771446,-0.19634006917476654,0.2051854133605957,0.1434435248374939,,b'Gaia EDR3 3030244017411875072',,,0,,,,False,-35.20010665129495,118.5865630053246,0.7367324829101562,0,0,0.02141934260725975,150.76324462890625,230.4386351815496,38,0,12,1.4468202590942383,0.9709551912787003,0.062009137123823166,15.658259391784668,-0.3802480697631836,0.2608133554458618,,2011.530070841519,7.802384376525879,257.8096618652344,17.07972526550293,1,0,35,1.2469431161880493,4820.63819258168,2.588829755783081,1862.0916748046875,16.479604721069336,291,0,3999.531772302107,12.571667671203613,318.1385192871094,15.74287223815918,0,0,34,0.4618050158023834,0.22929875174980144,0.04426330700516701,,-0.40085653178401615,0.05125172808766365,-0.12157605588436127,,,,113.77338077420134,-0.119620680809021,0.04261941835284233,0.2930481433868408,0.04501892253756523,0.0718131735920906,,1689192044,2016.0,1.0297746658325195,-23.390785217285156,33.1181526184082,-44.75509262084961,-38.2967643737793,0.21567362546920776,0.1702856719493866,0.31116753816604614,0.31589066982269287,1636042515805110273,3030244017411875072,20
